                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3687,                 2.8512,                 1.6351,                0.00671,                      1,                0.39252,                0.25273,                0.67175,                  2.935,                 1.1924,                  0.091,                  0.001,                  0.001
                      1,                 1.1598,                 2.7554,                 1.4939,                0.00667,                      1,                0.41357,                0.28773,                0.61412,                  2.875,                 1.1452,               0.081086,              0.0020861,              0.0020861
                      2,                0.97696,                 2.6253,                 1.3805,                0.00671,                      1,                0.54482,                0.32812,                0.88415,                 2.8694,                 1.2935,               0.071158,              0.0031578,              0.0031578
                      3,                 1.0621,                 2.5017,                 1.4276,                0.00667,                      1,                0.42427,                0.25338,                 1.1288,                 2.8657,                 1.4678,               0.061215,              0.0042149,              0.0042149
                      4,                0.97596,                  2.262,                 1.3691,                0.69827,                0.11575,                0.51639,                0.27846,                 1.0688,                 2.7107,                 1.5461,               0.051257,              0.0052574,              0.0052574
                      5,                0.97588,                 2.0728,                 1.3778,                0.54717,                0.43024,                0.58671,                0.36336,                0.91979,                 2.3891,                 1.4169,               0.041285,              0.0062855,              0.0062855
                      6,                 1.0536,                 2.0229,                 1.4217,                0.40644,                0.53065,                0.47983,                0.32697,                0.92362,                 2.2146,                 1.3652,               0.031299,               0.007299,               0.007299
                      7,                0.94612,                 1.8176,                 1.3268,                0.44735,                0.58333,                0.47731,                0.28072,                 1.1324,                 2.2645,                 1.5437,               0.021298,              0.0082981,              0.0082981
                      8,                  1.024,                 1.8761,                 1.3925,                0.35689,                0.61526,                0.41123,                 0.2555,                 1.1935,                  2.259,                 1.5739,               0.011283,              0.0092826,              0.0092826
                      9,                 1.0593,                 1.8486,                 1.3797,                0.56574,                0.49994,                0.46308,                 0.2311,                 1.2698,                 2.4124,                 1.6206,               0.009406,               0.009406,               0.009406
                     10,                 1.0545,                 1.7577,                 1.3959,                0.39829,                0.45833,                0.40335,                0.20792,                 1.5058,                  2.529,                 1.7823,               0.009406,               0.009406,               0.009406
                     11,                 1.0623,                 1.7362,                 1.3968,                0.41186,                0.45833,                0.48755,                0.22318,                 1.7707,                 2.5502,                 2.0585,                0.00934,                0.00934,                0.00934
                     12,                 1.0889,                 1.7408,                 1.3998,                 0.5092,                0.45689,                0.41806,                0.18302,                 1.7449,                 2.4888,                 2.0816,               0.009274,               0.009274,               0.009274
                     13,                 1.0705,                 1.7476,                 1.4115,                 0.4774,                0.41667,                0.48995,                 0.2175,                 1.6313,                 2.3824,                 1.9384,               0.009208,               0.009208,               0.009208
                     14,                 1.0653,                 1.6701,                 1.4025,                0.60114,                0.45833,                   0.62,                0.28979,                 1.5447,                 2.2474,                 1.8367,               0.009142,               0.009142,               0.009142
                     15,                 1.0565,                 1.6556,                 1.3632,                0.55873,                 0.6065,                 0.6315,                0.36248,                 1.2605,                 2.1498,                 1.6399,               0.009076,               0.009076,               0.009076
                     16,                0.98458,                 1.6151,                 1.2958,                0.51995,                0.62105,                0.57367,                0.31133,                 1.5122,                 2.3381,                 1.9288,                0.00901,                0.00901,                0.00901
                     17,                  1.055,                 1.6655,                  1.356,                0.73646,                 0.4964,                0.60397,                0.29072,                 1.5873,                 2.3401,                 1.9753,               0.008944,               0.008944,               0.008944
                     18,                 1.0827,                 1.6049,                 1.4169,                0.74926,                0.46164,                0.64654,                0.34092,                  1.525,                  2.198,                  1.977,               0.008878,               0.008878,               0.008878
                     19,                 1.1145,                 1.6395,                 1.4295,                0.65544,                0.66288,                0.65613,                0.39091,                 1.2645,                 2.1462,                 1.6332,               0.008812,               0.008812,               0.008812
                     20,                 1.0427,                 1.5065,                 1.3533,                0.58088,                0.45833,                0.54671,                0.29577,                 1.5333,                 2.2251,                 1.8633,               0.008746,               0.008746,               0.008746
                     21,                0.99481,                 1.4998,                 1.3225,                0.50484,                0.49949,                0.52283,                0.26054,                 1.6066,                 2.5247,                 1.9229,                0.00868,                0.00868,                0.00868
                     22,                 1.1897,                 1.6187,                 1.4604,                0.56768,                0.66657,                0.61493,                0.33448,                 1.2656,                 2.3975,                 1.6139,               0.008614,               0.008614,               0.008614
                     23,                0.97732,                 1.5177,                 1.2858,                0.94733,                0.57547,                0.76552,                0.43098,                 1.2702,                 1.9773,                 1.6371,               0.008548,               0.008548,               0.008548
                     24,                 1.0072,                 1.4949,                  1.338,                0.77259,                0.58333,                 0.7271,                 0.4527,                 1.2211,                 1.8796,                 1.6278,               0.008482,               0.008482,               0.008482
                     25,                 0.9866,                 1.4787,                 1.3029,                 0.7964,                0.70833,                0.76169,                0.42778,                 1.2539,                 1.9243,                 1.5713,               0.008416,               0.008416,               0.008416
                     26,                 0.9847,                 1.4295,                 1.3166,                0.65338,                  0.625,                0.65453,                 0.4292,                 1.1262,                 1.9356,                 1.4817,                0.00835,                0.00835,                0.00835
                     27,                 1.0229,                 1.4132,                 1.3477,                0.56301,                0.83333,                0.74265,                0.49868,                 1.2388,                 1.8455,                 1.6279,               0.008284,               0.008284,               0.008284
                     28,                0.96551,                 1.3942,                 1.3008,                0.86376,                0.77654,                0.83241,                0.49939,                  1.179,                 1.7443,                 1.5738,               0.008218,               0.008218,               0.008218
                     29,                0.98078,                 1.4795,                 1.3133,                0.71199,                   0.75,                0.79381,                0.54317,                  1.075,                 1.6151,                 1.5108,               0.008152,               0.008152,               0.008152
                     30,                0.96884,                 1.3883,                  1.293,                0.64146,                0.72506,                 0.7491,                0.45349,                  1.194,                 1.8584,                 1.5408,               0.008086,               0.008086,               0.008086
                     31,                 1.0524,                 1.4573,                 1.4708,                0.80854,                 0.6083,                0.75995,                0.44788,                 1.1623,                 1.8711,                 1.4979,                0.00802,                0.00802,                0.00802
                     32,                0.98632,                 1.3847,                 1.3543,                0.60848,                0.66667,                0.69862,                0.41469,                 1.2648,                 1.8203,                 1.5866,               0.007954,               0.007954,               0.007954
                     33,                0.95907,                 1.3191,                 1.2916,                0.63699,                0.59847,                0.62982,                0.40579,                 1.3267,                 1.7373,                 1.6817,               0.007888,               0.007888,               0.007888
